Kinase	Observed	SamplingAvg	SD	Z
WNK	1	0.091	0.2876810389825771	3.1597494336602843
DYRK	0	4.301	1.5711885044953482	-2.7374181950124714
PKCH	4	1.257	1.0490477828132103	2.6147522018912737
JNK	0	3.7355	1.514492189909426	-2.4665033104088847
ERK	1	4.636	1.554577870734718	-2.338898596492673
PAKB	1	0.147	0.3694038841360597	2.3091256931283946
STE7	1	3.98	1.5015749610598337	-1.984582906135217
P38	1	4.055	1.546017491829417	-1.9760449129103899
CDK	5	7.782	1.4493192412755602	-1.9195218836338186
PHK	5	7.54	1.4434132190264957	-1.759717845533584
MELK	0	2.2	1.2549053325637152	-1.7531202895643923
MTOR	0	1.9955	1.2191074035665255	-1.6368533192088908
CK1	1	3.178	1.4513335883222354	-1.5006887579290453
PKG	6	3.748	1.5448913698614333	1.457707670541256
NEK	0	1.619	1.1329080899923811	-1.429065618209936
GSK	0	1.6005	1.13205146537608	-1.413804980560929
RIPK	1	3.01	1.4275569899236038	-1.4079998306110115
PKCA	11	9.4745	1.0913043675397371	1.3978685006448963
AUR	2	0.8595	0.8655254572562145	1.3176966551803997
CAMK2	0	1.288	1.024002094795256	-1.2578099269001293
IRAK	0	1.127	0.9551581877269287	-1.1799092699838734
PDK1	3	4.839	1.5831399704647222	-1.161615545250981
CHK1	0	0.967	0.8782349619117666	-1.1010720842802786
PEK	6	7.583	1.4516075855034465	-1.0905151060167437
PKCD	2	1.0055	0.9213545447321293	1.0793890426720982
GRK	0	0.947	0.8868958744667116	-1.0677690890933829
ATR	0	0.9915	0.9348072969019714	-1.0606464062549714
COT	1	0.3795	0.5879222536085397	1.0554116572242422
PRKDC	0	0.9095	0.8750386256035496	-1.0393826893900608
IKK	3	4.545	1.5774089861398588	-0.9794542909133742
LKB	0	0.836	0.8668793110173613	-0.9643787657348499
STE11	0	0.7555	0.8050116594720494	-0.9384957237706089
NMO	0	0.8185	0.8768935061400303	-0.9334086685199999
PIM	7	5.534	1.5909461193822338	0.9214642671677967
QIK	4	5.45	1.6361046480007337	-0.8862513787072561
CK2	0	0.634	0.7624530591017828	-0.8315266001383632
STKR	0	0.577	0.7023657585826737	-0.8215092961882804
SGK	3	1.969	1.2553194467770856	0.8213048898804167
MAPKAPK	5	3.861	1.5095755725383881	0.7545167136513368
DAPK	1	1.875	1.1962819672939304	-0.7314329095667206
MARK	0	0.461	0.6416267157944802	-0.718486292188094
NDR	0	0.396	0.5747601017705506	-0.6889831057864326
MLCK	0	0.4015	0.5970561012116006	-0.6724661203281227
AKT	4	3.066	1.424309772895132	0.6557562250671772
VRK1	0	0.37	0.5867470801529685	-0.6305953834547225
ATM	0	0.3025	0.511981261772541	-0.5908419361925639
MSN	0	0.3025	0.5311636446601973	-0.5695043383353526
CAMK1	1	1.6405	1.1514871737695032	-0.5562371988072279
MLK	2	1.42	1.0895841393845631	0.5323131817315231
BARK2	0	0.2435	0.47044490559958485	-0.51759514685286645
FRAY	2	1.521	1.0821943320338279	0.4426192097123525
NAK	0	0.1675	0.3879677944169495	-0.43173686684928164
PKD	4	3.371	1.4974913155407814	0.42003582489749025
PKN	0	0.1575	0.3751854635590684	-0.41979238349463277
NUAK	0	0.1565	0.3795784370784877	-0.4122995004788419
TLK	0	0.15	0.36546789652676176	-0.41043276694213304
TTK	0	0.1535	0.37551065780755616	-0.40877667999150785
HAL	0	0.153	0.3750484377588216	-0.40794730652467903
PLK	3	3.6005	1.4872813294318052	-0.40375683343608726
PAKA	3	2.5015	1.3333741760461215	0.37386354779887143
RSK	6	6.575	1.5555014601073822	-0.3696557121587695
SLK	0	0.0915	0.2883909406818003	-0.31727765020523874
MOS	0	0.088	0.2833657496488188	-0.31055270479604635
RAD53	3	2.5875	1.3591421499209881	0.30350026303281097
PASK	0	0.083	0.2759512176767275	-0.30077779941972643
KHS	0	0.081	0.272903349409749	-0.2968083762078826
PDK	0	0.0805	0.2721337509189086	-0.2958104231032617
NIK	0	0.08	0.27136104806918143	-0.29481018211429005
ULK	0	0.08	0.27136104806918143	-0.29481018211429005
BRSK	0	0.078	0.2682386549101266	-0.2907858303499692
CLK	0	0.076	0.2650643875830595	-0.28672278721782246
CAMKK	0	0.0755	0.26426249702458127	-0.28570077423046947
TAO	0	0.074	0.2618363594682178	-0.2826192670501984
BUD32	0	0.068	0.25180886372787986	-0.2700460936652531
PKA	5	4.661	1.615358688293694	0.20986051114015222
PKCI	1	0.851	0.8591670873829031	0.17342377540772289
RAF	2	1.8615	1.1929079028291816	0.11610284387547776
PDHK	5	4.8445	1.571799932406716	0.09893116597982082
AMPK	2	1.918	1.1886894006617637	0.06898353762921523
MST	2	1.944	1.237994472991531	0.04523445073601967
DMPK	8	8.0445	1.4218053717923662	-0.03129823594906061
