Kinase	Observed	SamplingAvg	SD	Z
ERK	7	22.466	2.8402248922786657	-5.44534344517764
PKA	38	23.0085	2.806486403488619	5.3417326310096245
DYRK	6	20.643	2.765569595507189	-5.294750138918331
JNK	6	18.3075	2.758577282642659	-4.461538952502964
PKG	30	18.34	2.724171535582449	4.280200364661325
AKT	26	15.3535	2.5439680887971865	4.184997463955521
RSK	44	31.8205	2.9452702861586855	4.13527412313825
DMPK	50	39.508	2.5430630320132446	4.125733364813175
RAD53	22	12.6955	2.4322289404596362	3.8255033665711013
PDK1	14	24.158	2.874572591498064	-3.5337427310215284
PKD	25	16.5345	2.6437292603822162	3.2021054980403334
P38	11	19.9875	2.8307861850045484	-3.1749130498125417
AMPK	16	9.1975	2.1757437074113692	3.1265171430018284
PIM	35	27.164	2.7946393335280764	2.803939637573012
NMO	0	4.217	1.5540651721467926	-2.7135284128236505
PAKA	19	12.5565	2.4488377147284663	2.6312482698407282
PHK	44	37.1735	2.6301818717227845	2.5954478940760874
MST	4	9.5455	2.1408459451068262	-2.590331178511439
CDK	32	38.2985	2.6009190952565278	-2.4216439532805913
PLK	11	17.6345	2.770694520163136	-2.3945259759669812
PKCA	51	46.3715	2.0168097358837245	2.2949611545641857
LKB	1	4.1815	1.546206042726286	-2.057617104115275
STE7	14	19.502	2.75894941978835	-1.9942373573568735
CAMK1	12	8.0465	2.080745659913923	1.9000400078515842
MAPKAPK	24	18.774	2.7563967169895403	1.8959534989243823
PAKB	2	0.739	0.6841878810153422	1.8430609997485814
PKCD	8	4.932	1.6813058599485546	1.8247720852491858
MLCK	0	1.9125	1.0518540528391935	-1.8182180263865764
VRK1	0	1.896	1.0801700716516107	-1.755279145163652
GSK	5	8.025	2.0619167661123443	-1.4670815280790932
MARK	4	2.291	1.1768651179098124	1.4521630168079867
IRAK	3	5.373	1.7272413500552464	-1.3738670625990392
RIPK	18	14.5685	2.6028244461639694	1.3183755074443566
MOS	1	0.3685	0.48251856138499016	1.3087579432952445
SGK	13	9.977	2.3104415314036877	1.3084079206987782
STE11	2	3.8285	1.4495303788329446	-1.2614430347242354
KHS	1	0.3865	0.4870691616024279	1.2595747141568607
TAO	1	0.387	0.48718546246518757	1.2582477254107365
AUR	6	4.1405	1.5208274747991806	1.222689641535796
MTOR	7	9.581	2.199967938281086	-1.1731989158063036
PKN	0	0.7985	0.6849323442195434	-1.165808574728447
NAK	0	0.7795	0.6863783997576168	-1.13567093643283
PKCI	6	4.234	1.565077868467631	1.1283783609623794
NUAK	0	0.7775	0.6915438282807653	-1.124296057898353
TLK	0	0.7755	0.6930655957122529	-1.118941705947805
TTK	0	0.77	0.7122876363088294	-1.0810239582287906
NDR	3	1.888	1.1018452847454392	1.0092160990251067
IKK	25	22.224	2.832107769349289	0.9801886884544014
PRKDC	3	4.566	1.6583181267491327	-0.9443302673594314
FRAY	6	7.698	2.0331903333101238	-0.8351407008883331
NIK	0	0.4015	0.49032434059455965	-0.8188457450697785
SLK	0	0.387	0.48718546246518757	-0.7943586781956852
WNK	0	0.386	0.4869523193092321	-0.7926854122957288
PDHK	26	23.691	2.9186946378808796	0.7911070826088379
PASK	0	0.3775	0.48488277516614925	-0.7785386888009094
PEK	35	37.106	2.7178037509383026	-0.7748903868695155
BUD32	0	0.37	0.4829250545417499	-0.7661644317690142
ULK	0	0.3635	0.48112731344819004	-0.7555172816833715
CAMKK	0	0.3625	0.4808423386904887	-0.75388536081748
PDK	0	0.361	0.4804106547513276	-0.7514404529326322
CLK	0	0.36	0.4801200450187582	-0.7498124765566387
BRSK	0	0.3555	0.47878425954034015	-0.7425056127394414
CHK1	6	4.936	1.6787832369243771	0.6337923661599733
STKR	2	2.7035	1.264668906758548	-0.5562720774112564
ATM	1	1.5285	0.9667756086800956	-0.5466625298103479
DAPK	8	9.1945	2.2045634034656274	-0.5418306400814857
MELK	12	10.7375	2.398847845423454	0.5262943218381314
MSN	2	1.5145	0.947754646221646	0.5122633815993543
NEK	9	8.01	2.046703324189567	0.48370469149064893
MLK	6	6.9215	1.9186397106204138	-0.48028819319184346
RAF	10	9.1295	2.2574937184728716	0.3856046166936259
HAL	1	0.7485	0.6696805103876	0.3755522164657829
GRK	4	4.586	1.6455874267232036	-0.3561038389597325
CAMK2	7	6.5115	1.8919983030619754	0.258192620579744
CK1	15	15.646	2.596739403129217	-0.24877351929174504
BARK2	1	1.1425	0.8417529471359194	-0.16928957657333907
COT	2	1.919	1.0802881612123814	0.0749799941425773
QIK	27	27.209	2.848925620052987	-0.07336098862283125
PKCH	6	6.124	1.8028447311297446	-0.06878018825409087
CK2	3	3.0725	1.3263194606337598	-0.054662547110148604
ATR	5	4.9635	1.659983591112087	0.021988169157471878
